Code_Execution_Date,Bioreactor,Day,Date,VOLUME_L,IGG--STATE_SP,NORMALIZED_BOLUS_FEED--INPUT_REF,TEMPERATURE_SETPOINT--INPUT_REF,PH_SETPOINT--INPUT_REF,IGG--STATE_DATA,VCC--STATE_DATA,VIABILITY--STATE_DATA,GLUTAMATE--STATE_DATA,AMMONIUM--STATE_DATA,NORMALIZED_BOLUS_FEED--INPUT_DATA,TEMPERATURE_SETPOINT--INPUT_DATA,PH_SETPOINT--INPUT_DATA,IGG--STATE_PRED,VCC--STATE_PRED,VIABILITY--STATE_PRED,GLUTAMATE--STATE_PRED,AMMONIUM--STATE_PRED,IGG--STATE_EST,VCC--STATE_EST,VIABILITY--STATE_EST,GLUTAMATE--STATE_EST,AMMONIUM--STATE_EST,IGG--STATE_MOD,VCC--STATE_MOD,VIABILITY--STATE_MOD,GLUTAMATE--STATE_MOD,AMMONIUM--STATE_MOD
2025-11-19,FER027,0,,-1.1901289017336203,23.9,0.0,36.5,7.1,1132.4002685546875,0.55,98.7,2.68,0.58,0.029999999999970897,37.5,7.29999999999999,1132.4002685546875,0.55,98.7,2.68,0.58,1132.4002685546875,0.55,98.7,2.68,0.58,0.0,0.0,0.0,0.0,0.0
2025-11-19,FER027,1,,740.0,38.5,0.0,36.5,7.1,,,,,,1.7317809581819895e-14,37.5,7.299999999999999,933.9638055540091,0.3445,98.57224552963939,4.356509436086423,2.3304883909846876,,,,,,,,,,
2025-11-19,FER027,2,,740.0,73.5,0.0,36.5,7.1,,,,,,0.011584358822919734,37.499999979958325,7.299999999999999,825.4802788543398,0.9821031217469806,98.82255128853645,4.182135648588848,3.3296061020161094,,,,,,,,,,
2025-11-19,FER027,3,,740.0,115.6,0.05344585,36.5,7.1,,,,,,0.02999999999999339,37.49999997992982,7.299999999999999,732.9740958902736,2.7078661468864453,99.4353714298022,4.300906912047732,3.9717028955874447,,,,,,,,,,
2025-11-19,FER027,4,,740.0,218.4,0.0,36.5,7.1,,,,,,0.02999999999999314,37.4999999799268,7.3,679.271286028798,5.3218341436949625,100.52696136426562,4.731893881598468,4.58279304350558,,,,,,,,,,
2025-11-19,FER027,5,,740.0,398.4,0.051855899999999996,36.5,7.1,,,,,,0.02999999999999694,37.49999998068957,7.3,734.8828195312502,8.157121215837725,101.1345004305501,5.2503390123368785,4.913055375459975,,,,,,,,,,
2025-11-19,FER027,6,,740.0,713.8,0.0,36.5,7.1,,,,,,0.024489455586677096,37.4999999761119,7.3,898.9294964049725,10.810619699623022,101.14923313491224,5.8461224967693575,5.136124790384588,,,,,,,,,,
2025-11-19,FER027,7,,740.0,1068.4,0.05025125,36.5,7.1,,,,,,7.696012879323068e-10,37.49999999876073,7.297714273091242,1168.7587923093506,12.900231072692915,100.3544436265855,6.400816205641382,5.271802112496213,,,,,,,,,,
2025-11-19,FER027,8,,740.0,1537.9,0.0,36.5,7.1,,,,,,2.0149678991999823e-15,37.478423471379635,7.283065008916884,1555.8037302624646,13.743862054872672,97.98138037396609,6.683914505162821,5.0591668540803365,,,,,,,,,,
2025-11-19,FER027,9,,740.0,1941.5,0.04869797000000001,36.5,7.1,,,,,,1.5352319144714975e-15,37.43767703319629,7.259607279299313,1951.621289350004,13.644263177157384,95.28271875657241,6.8929108849011325,5.143760558307416,,,,,,,,,,
2025-11-19,FER027,10,,740.0,2337.8,0.0,36.5,7.1,,,,,,0.014107313092896371,37.375180372283594,7.233750870409769,2324.2348689773025,12.859687354669852,92.52156803653797,6.937709669350254,5.4648840171154,,,,,,,,,,
2025-11-19,FER027,11,,740.0,2603.3,0.047106659999999995,36.5,7.1,,,,,,1.0869263741385104e-17,37.240108950118774,7.203046314024496,2622.400885695623,12.012001466329894,90.46077765190104,6.978739926424645,6.1747041998116154,,,,,,,,,,
2025-11-19,FER027,12,,740.0,2902.5,0.0,36.5,7.1,,,,,,0.0270743204395124,37.043390742860986,7.1699099157274375,2914.2039904341823,10.712932032601058,87.88055207271988,6.779965947419073,6.582646027329292,,,,,,,,,,
2025-11-19,FER027,13,,740.0,3102.2,0.0,36.5,7.1,,,,,,0.02999999999999928,36.80001034363652,7.136822368629464,3094.59934873742,9.86803728568376,86.616018190836,6.812822934744049,7.5276408291665895,,,,,,,,,,
2025-11-19,FER027,14,,740.0,3225.0,0.0,36.5,7.1,,,,,,0.0,36.5,7.1,3245.9498510223243,9.331328990335349,85.65188306023725,6.796830887659419,8.369527980728094,,,,,,,,,,
