Code_Execution_Date,Bioreactor,Day,Date,VOLUME_L,IGG--STATE_SP,NORMALIZED_BOLUS_FEED--INPUT_REF,TEMPERATURE_SETPOINT--INPUT_REF,PH_SETPOINT--INPUT_REF,IGG--STATE_DATA,VCC--STATE_DATA,VIABILITY--STATE_DATA,GLUTAMATE--STATE_DATA,AMMONIUM--STATE_DATA,NORMALIZED_BOLUS_FEED--INPUT_DATA,TEMPERATURE_SETPOINT--INPUT_DATA,PH_SETPOINT--INPUT_DATA,IGG--STATE_PRED,VCC--STATE_PRED,VIABILITY--STATE_PRED,GLUTAMATE--STATE_PRED,AMMONIUM--STATE_PRED,IGG--STATE_EST,VCC--STATE_EST,VIABILITY--STATE_EST,GLUTAMATE--STATE_EST,AMMONIUM--STATE_EST,IGG--STATE_MOD,VCC--STATE_MOD,VIABILITY--STATE_MOD,GLUTAMATE--STATE_MOD,AMMONIUM--STATE_MOD
2025-11-07,FER027,0,,771.7811279297,23.9,0.0,26.0,7.3000001907,1132.4002685547,0.55,98.7,2.68,0.58,0.0,26.0,7.3000001907,1132.4002685547,0.55,98.7,2.68,0.58,1132.4002685547,0.55,98.7,2.68,0.58,0.0,0.0,0.0,0.0,0.0
2025-11-07,FER027,1,,771.8264770508,38.5,0.02999999588233195,35.50000000010429,6.952456979559655,1132.4002685547,0.82,99.1,2.85,0.81,0.0,26.0,7.3000001907,1132.4002685547,0.82,99.1,2.85,0.81,1351.843961671847,-4.684577729410223,95.28301265517294,6.692066541307255,2.406258325922,-201.67094841158922,2.732692567988411,0.0,-1.3507399656612262,-1.0334176402019026
2025-11-07,FER027,2,,2.7333805561,73.5,0.029999998178182188,37.5,6.9,1132.4002685547,2.76,99.3,3.13,1.39,0.0,35.5,7.3,1132.4002685547,2.76,99.29999999999998,3.13,1.39,1163.286311541612,-1.5579063514420484,95.70181359807542,5.460281189714285,1.5634821355032271,-117.01130670462403,4.876273997098301,0.0,-1.2252234398968649,-0.5029167468779027
2025-11-07,FER027,3,,740.0,115.6,0.029999999315244868,37.5,6.9,,,,,,0.0,37.5,7.3,1034.7120341751395,6.1454730691034145,97.13695602633882,3.759781073131534,1.8679049012596713,,,,,,,,,,
2025-11-07,FER027,4,,740.0,218.4,0.03,37.015608824055846,6.9,,,,,,0.0,37.5,7.3,1014.7787179933771,10.50819489330404,95.1330315722267,3.5223192163383246,1.9032496509128873,,,,,,,,,,
2025-11-07,FER027,5,,740.0,398.4,0.03,36.24344888472627,6.9,,,,,,0.0,37.5,7.3,1159.4762603290924,14.494999267211481,91.83964114864683,3.795650587091041,1.4355399947585894,,,,,,,,,,
2025-11-07,FER027,6,,740.0,713.8,0.03,35.640623533527034,6.9,,,,,,0.0,37.5,7.3,1440.9188238678898,17.57273973765709,87.65672018295848,4.089521955594936,0.938586527341604,,,,,,,,,,
2025-11-07,FER027,7,,740.0,1068.4,0.03,35.5,6.9,,,,,,0.0,37.5,7.3,1816.427378435985,19.58565428501842,82.79437250663959,4.279937286839455,0.5423053989039156,,,,,,,,,,
2025-11-07,FER027,8,,740.0,1537.9,0.03,35.5,6.9,,,,,,0.0,37.5,7.3,2241.0179736074383,20.5486933125049,77.45655610979767,4.3145809742343735,0.27232208635526606,,,,,,,,,,
2025-11-07,FER027,9,,740.0,1941.5,0.03,35.5,6.9,,,,,,0.0,37.5,7.3,2673.076713145938,20.5694958098546,71.84097904338873,4.171485069897678,0.1062345390457675,,,,,,,,,,
2025-11-07,FER027,10,,740.0,2337.8,0.015804504831488368,35.5,6.9,,,,,,0.0,37.5,7.3,3077.233646032905,19.80211549592874,66.12727434036856,3.8475594675285594,-0.00039730684209674763,,,,,,,,,,
2025-11-07,FER027,11,,740.0,2603.3,0.0,35.5,6.9000000015976175,,,,,,0.03,37.5,7.3,3425.562055878909,18.417048745679566,60.46967414067833,3.3520912355171566,-0.09863630416311114,,,,,,,,,,
2025-11-07,FER027,12,,740.0,2902.5,0.0,35.5,6.92488093824872,,,,,,0.03,37.5,7.3,3634.6443861052912,17.36592904757753,56.33998559999516,2.990507753224038,0.33056871283942607,,,,,,,,,,
2025-11-07,FER027,13,,740.0,3102.2,0.0,35.79749599759925,6.991454173295402,,,,,,0.03,37.5,7.253452295862375,3794.490874326612,16.413364228596308,52.44360732533746,2.480796899527228,0.5024217555500199,,,,,,,,,,
2025-11-07,FER027,14,,740.0,3225.0,0.0,36.5,7.1,,,,,,0.0,36.5,7.1,3911.9373665703847,15.320782997534465,48.6195047728507,1.9095000020204496,0.5731055828995878,,,,,,,,,,
