Code_Run_Date,Bioreactor,Day,Date,IGG--STATE_SP,DAILY_NORMALIZED_FEED--INPUT_REF,IGG--STATE_DATA,VCC--STATE_DATA,VIABILITY--STATE_DATA,LACTATE--STATE_DATA,OSMO--STATE_DATA,PCO2_AT_TEMP--STATE_DATA,DAILY_NORMALIZED_FEED--INPUT_DATA,TEMPERATURE--INPUT_DATA,PH_SETPOINT--INPUT_DATA,DO--INPUT_DATA,IGG--STATE_PRED,VCC--STATE_PRED,VIABILITY--STATE_PRED,LACTATE--STATE_PRED,OSMO--STATE_PRED,PCO2_AT_TEMP--STATE_PRED,IGG--STATE_EST,VCC--STATE_EST,VIABILITY--STATE_EST,LACTATE--STATE_EST,OSMO--STATE_EST,PCO2_AT_TEMP--STATE_EST,IGG--STATE_MOD,VCC--STATE_MOD,VIABILITY--STATE_MOD,LACTATE--STATE_MOD,OSMO--STATE_MOD,PCO2_AT_TEMP--STATE_MOD
2/22/2024,19,1,,509.83,0.0065,,,,,,,0.005554087,34,7.2,0.5,885.1553271,17.1644307,99.10291868,1.885117267,305.8476301,31.09133849,885.1553271,17.1644307,99.10291868,1.885117267,305.8476301,31.09133849,,,,,,
2/22/2024,20,1,,509.83,0.0065,,,,,,,0.005086149,34,7.2,0.5,882.3378146,17.92193013,99.55981003,1.805853561,306.3165248,30.96275807,882.3378146,17.92193013,99.55981003,1.805853561,306.3165248,30.96275807,,,,,,
2/22/2024,21,1,,509.83,0.0065,,,,,,,0.005651798,34,7.2,0.5,896.855343,17.32489132,99.36295544,1.963880135,303.7211437,30.88013093,896.855343,17.32489132,99.36295544,1.963880135,303.7211437,30.88013093,,,,,,
2/22/2024,22,1,,509.83,0.0065,,,,,,,0.0052437,34,7.2,0.5,872.6421424,19.08155883,99.24490616,1.810616188,304.959848,29.78824037,872.6421424,19.08155883,99.24490616,1.810616188,304.959848,29.78824037,,,,,,
2/22/2024,23,1,,509.83,0.0065,,,,,,,0.0058,34,7.2,0.5,852.069852,19.21026924,98.93085748,1.802054993,304.1750614,30.2311001,852.069852,19.21026924,98.93085748,1.802054993,304.1750614,30.2311001,,,,,,
2/22/2024,24,1,,509.83,0.0065,,,,,,,0.005856124,34,7.2,0.5,832.5191619,19.01081579,98.86877193,1.817151853,305.8914162,31.04814953,832.5191619,19.01081579,98.86877193,1.817151853,305.8914162,31.04814953,,,,,,
2/22/2024,1,2,,997.91,0.008,,,,,,,0.004797277,34,7.2,0.5,1542.089457,24.91227184,98.59603815,1.071654582,299.9995049,27.30118112,,,,,,,,,,,,
2/22/2024,2,2,,997.91,0.008,,,,,,,0.002903151,34,7.2,0.5,1846.29781,24.49026884,99.98077061,1.441474509,295.5425188,25.45976794,,,,,,,,,,,,
2/22/2024,3,2,,997.91,0.008,,,,,,,0.003081756,34,7.2,0.5,1860.121435,24.24705794,100.1979617,1.650677538,294.3891565,25.8658188,,,,,,,,,,,,
2/22/2024,4,2,,997.91,0.008,,,,,,,0.00503781,34,7.2,0.5,1538.269179,24.42234968,98.42691951,1.264885692,300.4345731,27.32706604,,,,,,,,,,,,
2/22/2024,5,2,,997.91,0.008,,,,,,,0.005112661,34,7.2,0.5,1535.165163,24.14524816,98.57480661,1.371586498,300.3653317,27.73500022,,,,,,,,,,,,
