Code_Run_Date,Bioreactor,Day,Date,IGG--STATE_SP,DAILY_NORMALIZED_FEED--INPUT_REF,IGG--STATE_DATA,VCC--STATE_DATA,VIABILITY--STATE_DATA,LACTATE--STATE_DATA,OSMO--STATE_DATA,PCO2_AT_TEMP--STATE_DATA,DAILY_NORMALIZED_FEED--INPUT_DATA,TEMPERATURE--INPUT_DATA,PH_SETPOINT--INPUT_DATA,DO--INPUT_DATA,IGG--STATE_PRED,VCC--STATE_PRED,VIABILITY--STATE_PRED,LACTATE--STATE_PRED,OSMO--STATE_PRED,PCO2_AT_TEMP--STATE_PRED,IGG--STATE_EST,VCC--STATE_EST,VIABILITY--STATE_EST,LACTATE--STATE_EST,OSMO--STATE_EST,PCO2_AT_TEMP--STATE_EST,IGG--STATE_MOD,VCC--STATE_MOD,VIABILITY--STATE_MOD,LACTATE--STATE_MOD,OSMO--STATE_MOD,PCO2_AT_TEMP--STATE_MOD
2024-02-22,1,0,,146.51,0.0045,158.35,17.45,98.38,0.85,313.0,29.6,0.0036,34,7.2,0.5,158.35,17.45,98.38,0.85,313.0,29.6,158.35,17.45,98.38,0.85,313.0,29.6,1.0,1.0,1.0,1.0,1.0,1.0
2024-02-22,1,1,,509.83,0.0065,,,,,,,0.0043192622865694,34,7.2,0.5,898.2465253349282,22.33685568699425,98.88405574020096,1.1726017956759482,302.1992827204096,25.3496492604392,898.2465253349282,22.33685568699425,98.88405574020096,1.1726017956759482,302.1992827204096,25.3496492604392,,,,,,
2024-02-22,1,2,,997.91,0.008,,,,,,,0.0047972772432112,34,7.2,0.5,1542.0894565863157,24.912271842334377,98.59603815030816,1.0716545823506929,299.9995049117924,27.30118112351189,,,,,,,,,,,,
2024-02-22,1,3,,1505.08,0.0104999999999999,,,,,,,0.005366260987474,34,7.2,0.5,2081.998828762921,25.38328496111418,97.7527464252128,0.7692549357301769,302.9561520995027,31.310184974858696,,,,,,,,,,,,
2024-02-22,1,4,,2119.61,0.008,,,,,,,0.008,34,7.2,0.5,2548.0181227366893,24.49339845890767,96.62036986213327,0.4394945231953299,308.02979829923265,35.22550997288061,,,,,,,,,,,,
2024-02-22,1,5,,2716.05,0.0134999999999999,,,,,,,0.0134999999999999,34,7.2,0.5,2988.420788224365,23.00797344521532,95.3600192801612,0.2064561244100949,313.4574201052381,38.01223721459009,,,,,,,,,,,,
2024-02-22,1,6,,3307.9,0.01,,,,,,,0.01,34,7.2,0.5,3430.019526782501,21.408654209390217,94.04929000149195,0.0929621632580783,318.4263000153392,39.800043408998185,,,,,,,,,,,,
2024-02-22,1,7,,3888.32,0.0094999999999999,,,,,,,0.0094999999999999,34,7.2,0.5,3872.479859033551,19.846970838535107,92.7088936889346,0.0728070259786145,322.78068722922995,41.12862178376539,,,,,,,,,,,,
2024-02-22,1,8,,4309.7,0.009,,,,,,,0.009,34,7.2,0.5,4314.426110404809,18.35459537782535,91.31922432256606,0.1293350330522958,326.68628464504815,42.25044329200439,,,,,,,,,,,,
2024-02-22,1,9,,4805.73,0.0089999999999999,,,,,,,0.0089999999999999,34,7.2,0.5,4752.461847542404,16.91340288940469,89.85413665603525,0.2475493233111156,330.3311240064328,43.27631032016645,,,,,,,,,,,,
2024-02-22,1,10,,5302.42,0.0085,,,,,,,0.0085,34,7.2,0.5,5182.609580711722,15.496448173900957,88.29305626534126,0.413572116969401,333.8353917232862,44.243792173351615,,,,,,,,,,,,
2024-02-22,1,11,,5791.69,0.0074999999999999,,,,,,,0.0074999999999999,34,7.2,0.5,5598.92454375211,14.073028273879466,86.62635494896261,0.612438739189105,337.2380559338077,45.19194364866944,,,,,,,,,,,,
