Code_Execution_Date,Bioreactor,Day,Date,VOLUME_L,IGG--STATE_SP,NORMALIZED_BOLUS_FEED--INPUT_REF,TEMPERATURE_SETPOINT--INPUT_REF,PH_SETPOINT--INPUT_REF,IGG--STATE_DATA,VCC--STATE_DATA,VIABILITY--STATE_DATA,GLUTAMATE--STATE_DATA,AMMONIUM--STATE_DATA,NORMALIZED_BOLUS_FEED--INPUT_DATA,TEMPERATURE_SETPOINT--INPUT_DATA,PH_SETPOINT--INPUT_DATA,IGG--STATE_PRED,VCC--STATE_PRED,VIABILITY--STATE_PRED,GLUTAMATE--STATE_PRED,AMMONIUM--STATE_PRED,IGG--STATE_EST,VCC--STATE_EST,VIABILITY--STATE_EST,GLUTAMATE--STATE_EST,AMMONIUM--STATE_EST,IGG--STATE_MOD,VCC--STATE_MOD,VIABILITY--STATE_MOD,GLUTAMATE--STATE_MOD,AMMONIUM--STATE_MOD,NORMALIZED_BOLUS_FEED--CONSTRAINT,TEMPERATURE_SETPOINT--CONSTRAINT,PH_SETPOINT--CONSTRAINT
2026-01-14,FER027,0,2025-11-21 10:26:46.409000-05:00,710.5301574103,21.05,0.0,36.60843277,7.0999999046,22.4,0.59,98.3,2.79,0.48,0.0,36.60843277,7.0999999046,22.4,0.59,98.3,2.79,0.48,22.4,0.59,98.3,2.79,0.48,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.03]","[35.5, 37.5]","[6.95, 7.25]"
2026-01-14,FER027,1,2025-11-22 11:24:33.632000-05:00,738.1,33.38678571,0.0,37.20703125,7.105,38.1,1.14,98.4,2.93,0.72,1.3693017601679989e-05,37.20703125,7.105,38.1,1.14,98.4,2.93,0.72,64.3872,0.9560892268109319,97.61360786526478,3.1677013827515634,1.7296650954854627,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.03]","[35.5, 37.5]","[6.95, 7.25]"
2026-01-14,FER027,2,2025-11-23 08:14:12.847000-05:00,737.2289440797,60.40071429,1.3709196272016384e-05,37.46744919,6.9499998093,69.6,2.65,98.3,3.12,1.11,0.02981405170278694,37.46744919,6.9499998093,69.6,2.65,98.3,3.12,1.11,64.3872,1.7362556210262876,97.75187589949172,3.199753933898897,1.8222013066390585,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.03]","[35.5, 37.5]","[6.95, 7.25]"
2026-01-14,FER027,3,2025-11-24 08:55:09.795000-05:00,759.5616068321,122.9070408,0.028950763801224928,37.5054245,7.0025434494,136.0,4.41,98.8,3.86,2.31,0.02984598105566984,37.5054245,7.0025434494,136.0,4.41,98.80000000000001,3.86,2.31,67.14163802184811,4.122042690871996,98.09406576036017,3.5600877799655066,2.878775028582563,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.03]","[35.5, 37.5]","[6.95, 7.25]"
2026-01-14,FER027,4,2025-11-25 08:31:34.685000-05:00,782.6091544274,236.8946939,0.057065202658759515,37.00810242,6.9499998093,267.4,7.71,99.3,4.67,3.75,0.021894270151409944,37.00810242,6.9499998093,267.4,7.710000000000001,99.29999999999998,4.67,3.7500000000000004,183.05723161113596,6.459032362616832,98.89520479808996,4.103011440389489,3.53574570896394,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.03]","[35.5, 37.5]","[6.95, 7.25]"
2026-01-14,FER027,5,2025-11-26 08:34:55.952000-05:00,807.6817016602,423.577551,0.0765083647716431,37.20341492,6.996638298,472.0,9.96,96.8,5.11,4.94,0.003923996095535384,37.20341492,6.996638298,472.0,9.96,96.8,5.11,4.94,484.994289933663,9.523393353186197,98.93167999173252,4.929107741762356,4.54323174791885,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.03]","[35.5, 37.5]","[6.95, 7.25]"
2026-01-14,FER027,6,2025-11-27 09:21:32.920000-05:00,809.9971095926,738.8046939,0.0802024418660265,36.58130646,6.9526391029,797.6,11.46,97.1,5.01,5.55,0.011573763329186632,36.58130646,6.9526391029,797.6,11.46,97.09999999999998,5.01,5.55,790.3899882217728,11.39361208123668,95.9995421966312,5.1040745346676495,4.834087042532611,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.03]","[35.5, 37.5]","[6.95, 7.25]"
2026-01-14,FER027,7,2025-11-28 09:04:34.734000-05:00,831.0761144657,1098.795,0.08944843876940477,36.60300827,6.9920659065,1163.3,12.91,95.6,6.81,5.79,0.029900916495447665,36.60300827,6.9920659065,1163.3,12.91,95.6,6.81,5.79,1225.4177349872994,12.263949201923543,95.69364245763148,5.868374569476099,5.8039099533034895,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.03]","[35.5, 37.5]","[6.95, 7.25]"
2026-01-14,FER027,8,2025-11-29 08:39:21.272000-05:00,861.3772425888,1576.804082,0.11515093913950786,36.78747177,6.9499998093,1551.0,13.32,94.5,7.17,5.79,2.4869330115592883e-05,36.78747177,6.9499998093,1551.0,13.32,94.5,7.17,5.79,1494.0284275143158,14.416601722976942,94.79934061731117,6.45293516188568,6.439100078719602,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.03]","[35.5, 37.5]","[6.95, 7.25]"
2026-01-14,FER027,9,2025-11-30 08:54:44.671000-05:00,865.4212803605,1964.336939,0.11463760201410017,36.88693619,7.0012626648,1983.9,14.25,93.1,7.09,6.04,2.4698953544447195e-05,36.88693619,7.0012626648,1983.9,14.25,93.1,7.09,6.040000000000001,1933.3782879571086,13.046460520522835,92.24631314695687,6.493231858640184,6.396320208173024,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.03]","[35.5, 37.5]","[6.95, 7.25]"
