Code_Execution_Date,Bioreactor,Day,Date,VOLUME_L,IGG--STATE_SP,NORMALIZED_BOLUS_FEED--INPUT_REF,TEMPERATURE_SETPOINT--INPUT_REF,PH_SETPOINT--INPUT_REF,IGG--STATE_DATA,VCC--STATE_DATA,VIABILITY--STATE_DATA,GLUTAMATE--STATE_DATA,AMMONIUM--STATE_DATA,NORMALIZED_BOLUS_FEED--INPUT_DATA,TEMPERATURE_SETPOINT--INPUT_DATA,PH_SETPOINT--INPUT_DATA,IGG--STATE_PRED,VCC--STATE_PRED,VIABILITY--STATE_PRED,GLUTAMATE--STATE_PRED,AMMONIUM--STATE_PRED,IGG--STATE_EST,VCC--STATE_EST,VIABILITY--STATE_EST,GLUTAMATE--STATE_EST,AMMONIUM--STATE_EST,IGG--STATE_MOD,VCC--STATE_MOD,VIABILITY--STATE_MOD,GLUTAMATE--STATE_MOD,AMMONIUM--STATE_MOD,NORMALIZED_BOLUS_FEED--CONSTRAINT,TEMPERATURE_SETPOINT--CONSTRAINT,PH_SETPOINT--CONSTRAINT
2026-01-13,FER027,0,2025-11-21 10:26:46.409000-05:00,710.5301574103,21.05,0.0,36.5,7.0999999046,22.4,0.59,98.3,2.79,0.48,0.0,36.5,7.0999999046,22.4,0.59,98.3,2.79,0.48,22.4,0.59,98.3,2.79,0.48,2.129638687620172e-15,0.0,0.0,0.0,-3.2189251264469476e-17,"[0.0, 0.03]","[35.5, 37.5]","[6.95, 7.25]"
2026-01-13,FER027,1,2025-11-22 11:24:33.632000-05:00,738.1,33.38678571,0.0,36.6,7.105,38.1,1.14,98.4,2.93,0.72,1.3693017601679989e-05,36.6,7.105,38.1,1.14,98.4,2.93,0.72,64.3872,0.9270701359336968,97.60750503181012,3.1864213306285993,1.7387340979719925,-15.757599168000004,0.0689488192833096,0.069026311729339,-0.14987313932580365,-0.5907333413910193,"[0.0, 0.03]","[35.5, 37.5]","[6.95, 7.25]"
2026-01-13,FER027,2,2025-11-23 08:14:12.847000-05:00,737.2289440797,60.40071429,1.3709196272016384e-05,37.2000007629,6.9499998093,69.6,2.65,98.3,3.12,1.11,0.02981405170278694,37.2000007629,6.9499998093,69.6,2.65,98.3,3.12,1.11,64.3872,1.6427489851084487,97.78673716480084,3.1546793103698585,1.2822382989363825,-3.80007626400001,0.39510677041534276,0.11373150467518559,-0.08764150373433298,-0.2984984094858394,"[0.0, 0.03]","[35.5, 37.5]","[6.95, 7.25]"
2026-01-13,FER027,3,2025-11-24 08:55:09.795000-05:00,759.5616068321,122.9070408,0.028950763801224928,37.4622573853,7.0025434494,136.0,4.41,98.8,3.86,2.31,0.02984598105566984,37.4622573853,7.0025434494,136.0,4.41,98.80000000000001,3.86,2.31,73.81700625244723,4.445574141289624,98.19274468260755,3.5186188550107014,2.602645230083868,31.72334458003303,0.38358750772434963,0.1666234428200674,0.12304666920741043,-0.4019000777939582,"[0.0, 0.03]","[35.5, 37.5]","[6.95, 7.25]"
2026-01-13,FER027,4,2025-11-25 08:31:34.685000-05:00,782.6091544274,236.8946939,0.057065202658759515,37.5,6.9499998093,267.4,7.71,99.3,4.67,3.75,0.021894270151409944,37.5,6.9499998093,267.4,7.710000000000001,99.29999999999998,4.67,3.7500000000000004,216.47134969443854,6.831067362511794,99.05939870128164,4.233510525846949,3.13745600348225,41.35790699008356,0.6681946850694056,0.1875798159384366,0.26833006747152877,0.06593495852607034,"[0.0, 0.03]","[35.5, 37.5]","[6.95, 7.25]"
2026-01-13,FER027,5,2025-11-26 08:34:55.952000-05:00,807.6817016602,423.577551,0.0765083647716431,36.9497795105,6.996638298,472.0,9.96,96.8,5.11,4.94,0.003923996095535384,36.9497795105,6.996638298,472.0,9.96,96.8,5.11,4.94,507.08550744573796,10.323231088380687,99.14694487932861,5.112516091763787,4.568025819090129,3.2137146176387077,0.5505768263408555,-0.016839083051086,0.12642333874342807,0.04586344255059566,"[0.0, 0.03]","[35.5, 37.5]","[6.95, 7.25]"
2026-01-13,FER027,6,2025-11-27 09:21:32.920000-05:00,809.9971095926,738.8046939,0.0802024418660265,37.2003059387,6.9526391029,797.6,11.46,97.1,5.01,5.55,0.011573763329186632,37.2003059387,6.9526391029,797.6,11.46,97.09999999999998,5.01,5.55,803.5381177951917,11.876310267218491,95.96842795799402,5.2742857582507865,4.901163815328552,11.443250643331396,0.4157713987128362,0.08172084180763403,-0.027236873874911,0.27893121872381865,"[0.0, 0.03]","[35.5, 37.5]","[6.95, 7.25]"
2026-01-13,FER027,7,2025-11-28 09:04:34.734000-05:00,831.0761144657,1098.795,0.08944843876940477,36.5734672546,6.9920659065,1163.3,12.91,95.6,6.81,5.79,0.029900916495447665,36.5734672546,6.9920659065,1163.3,12.91,95.6,6.81,5.79,1212.6159573400626,12.845379027746157,95.81020194394691,5.734272972167706,6.031069850391874,-16.123439864233355,0.4366963157383532,0.06341225248985789,0.6865353592121161,-0.1105950029029576,"[0.0, 0.03]","[35.5, 37.5]","[6.95, 7.25]"
2026-01-13,FER027,8,2025-11-29 08:39:21.272000-05:00,861.3772425888,1576.804082,0.11515093913950786,36.3165969849,6.9499998093,1551.0,13.32,94.5,7.17,5.79,2.4869330115592883e-05,36.3165969849,6.9499998093,1551.0,13.32,94.5,7.17,5.79,1479.0620528476318,14.845392186909624,94.8610902368436,7.144570513180656,6.330975800691765,43.56969800261668,-0.05724092830485206,0.03196129286078082,0.355293971733524,-0.3315028550342591,"[0.0, 0.03]","[35.5, 37.5]","[6.95, 7.25]"
2026-01-13,FER027,9,2025-11-30 08:54:44.671000-05:00,865.4212803605,1964.336939,0.11463760201410017,36.5149879456,7.0012626648,1983.9,14.25,93.1,7.09,6.04,2.4698953544447195e-05,36.5149879456,7.0012626648,1983.9,14.25,93.1,7.09,6.040000000000001,1995.3912526811134,12.86320272314219,92.25177257703703,6.929818150340101,6.104199954882833,12.50951187278286,0.39181789791447513,0.10584190140085498,0.4407353761334858,-0.16050889718590697,"[0.0, 0.03]","[35.5, 37.5]","[6.95, 7.25]"
