,level_0,level_1,IGG,VCC,Osmolality,Glutamate,Ammonium,Normalized_Bolus_Feed,Temperature_setpoint,pH_setpoint
0,AR25-050-002,0,68.2914,0.8333,333.0,2.8,0.83,0.0,38.0,6.75
1,AR25-050-002,1,82.73643639109346,1.5315081699243163,334.1962330094245,2.153460993523975,1.2132038390122846,0.0,38.0,6.75
2,AR25-050-002,2,117.18537161433696,2.4340747267736167,327.5210144923634,2.2116273615166944,1.8254787489549473,0.0,38.0,6.75
3,AR25-050-002,3,198.80063739691656,3.544901234262962,319.0474633321476,2.472048095044879,2.5379714831401667,0.0,38.0,6.75
4,AR25-050-002,4,338.79553802931383,4.759636688924659,311.16742778040754,2.7508719630402862,3.272357724303268,0.043206367,38.0,6.75
5,AR25-050-002,5,558.7212467691011,7.431974535367048,320.1379561961365,3.882894828899567,4.649733358303001,0.0,38.0,6.75
6,AR25-050-002,6,839.7738107702461,8.651918946835952,314.07694216275024,4.1106131499116065,5.407671752829563,0.042299772,38.0,6.75
7,AR25-050-002,7,1193.8503257967104,10.962960335416712,326.4780641910914,5.042854025505703,6.712034579230511,0.0,38.0,6.75
8,AR25-050-002,8,1584.1028409709988,11.51277853974959,325.09595675569295,5.037101354994777,7.376645527864992,0.041965765,38.0,6.75
9,AR25-050-002,9,2005.5673566959772,12.864289296508462,342.06961245205486,5.741117098260608,8.613727181428153,0.0,38.0,6.75
10,AR25-050-002,10,2407.980838986158,12.29463971897682,344.59652470714303,5.585233757848933,9.31894208706012,0.041114417,38.0,6.75
11,AR25-050-002,11,2776.931406393608,12.475814770342364,363.6363106670936,6.252218331748441,10.762228572236822,0.0,38.0,6.75
12,AR25-050-002,12,3059.0690766914486,10.911199749417712,366.4622583315759,6.257787931012533,11.931440019634902,0.040378281,38.0,6.75
13,AR25-050-002,13,3242.224052415195,10.397108308780846,383.12996571549434,7.292314535606171,14.125268072207565,0.0,38.0,6.75
14,AR25-050-002,14,3281.509518027094,8.635865438370988,381.5670573637819,7.91685410477348,16.375392208512334,0.0,38.0,6.75
15,AR25-050-004,0,66.4305,0.8448,333.0,2.8,0.8,0.0,35.0,6.75
16,AR25-050-004,1,106.02400097893215,0.9731161122074129,334.63828467025104,1.7042236390871806,0.8825709102697818,0.0,35.0,6.75
17,AR25-050-004,2,147.66908696334409,1.2292805876317106,326.7577419664923,1.4436494249974334,1.233602731530521,0.0,35.0,6.75
18,AR25-050-004,3,220.18786893675664,1.687431321920079,316.03853873749324,1.457074646485466,1.737505074825729,0.0,35.0,6.75
19,AR25-050-004,4,337.0573699287386,2.3103439305593265,304.9004355675449,1.5545823398778758,2.337038845377694,0.041416894,35.0,6.75
20,AR25-050-004,5,523.3217581633025,4.45336341838135,308.9095781290174,2.5383700205211683,3.6439755909559746,0.0,35.0,6.75
21,AR25-050-004,6,767.2534487958179,5.37460387524932,297.5334640532413,2.725173250041616,4.45802052014719,0.040583115,35.0,6.75
22,AR25-050-004,7,1088.0625057030552,7.544089456939064,303.0296215305227,3.653425980071449,5.898057509513027,0.0,35.0,6.75
