Code_Execution_Date,Bioreactor,Day,Date,VOLUME_L,IGG--STATE_SP,DAILY_NORMALIZED_BOLUS_FEED--INPUT_REF,TEMPERATURE_SETPOINT--INPUT_REF,PH_SETPOINT--INPUT_REF,IGG--STATE_DATA,VCC--STATE_DATA,VIABILITY--STATE_DATA,GLUTAMATE--STATE_DATA,AMMONIUM--STATE_DATA,DAILY_NORMALIZED_BOLUS_FEED--INPUT_DATA,TEMPERATURE_SETPOINT--INPUT_DATA,PH_SETPOINT--INPUT_DATA,IGG--STATE_PRED,VCC--STATE_PRED,VIABILITY--STATE_PRED,GLUTAMATE--STATE_PRED,AMMONIUM--STATE_PRED,IGG--STATE_EST,VCC--STATE_EST,VIABILITY--STATE_EST,GLUTAMATE--STATE_EST,AMMONIUM--STATE_EST,IGG--STATE_MOD,VCC--STATE_MOD,VIABILITY--STATE_MOD,GLUTAMATE--STATE_MOD,AMMONIUM--STATE_MOD
2025-10-15,FER437,0,,750.0,23.9,0.0,36.5,7.1,23.9,0.61,100.0,2.8,0.49,0.0,36.5,7.1,23.9,0.61,100.0,2.8,0.49,23.9,0.61,100.0,2.8,0.49,2.2594903725803308e-15,0.0,0.0,0.0,0.0
2025-10-15,FER437,1,,748.5,38.5,0.0,36.5,7.1,35.0,1.05,99.0,3.04,0.7,0.0,36.5,7.1,35.0,1.05,99.0,3.04,0.7,-89.49635894989781,2.0585072785801843,100.6623656894151,3.3403890486372445,0.8855858940198946,79.17843932854552,-0.5188769948295048,0.0,-0.250404310944007,0.0
2025-10-15,FER437,2,,745.5,73.5,0.0,36.5,7.1,66.8,2.33,99.0,3.28,1.15,0.0,36.5,7.1,66.8,2.33,99.0,3.28,1.15,37.94740276507625,2.0999713784720133,99.68545868842445,3.2065718191965815,1.0511219716507754,93.50841521349248,-0.4005272690533556,0.0,-0.18919457942627751,0.0
2025-10-15,FER437,3,,745.0,115.6,0.0,36.5,7.1,105.1,3.77,99.0,3.57,1.7,0.029965400597696146,36.154723363591266,6.900000004070513,105.1,3.77,99.0,3.57,1.7,153.95538326997084,3.204815836299387,99.32097922841237,3.4341708084368494,1.5441323722761628,61.50522964290804,-0.10974001682939027,0.0,-0.07596736533923532,0.0
2025-10-15,FER437,4,,740.0,218.4,1.3530843112619095e-15,36.137770516600845,6.9,,,,,,0.004573851086396565,36.0943950049195,6.9,178.74069990567986,3.4990969279767894,98.32474773985972,3.313644193750019,2.5134837150249143,,,,,,,,,,
2025-10-15,FER437,5,,740.0,398.4,1.7763568394002505e-15,36.48016613243978,6.9,,,,,,0.0,36.426189570353834,6.9,340.06509720686057,5.2980561211836505,98.31896956394199,4.082751527527604,3.129275916577236,,,,,,,,,,
2025-10-15,FER437,6,,740.0,713.8,1.7763568394002505e-15,36.92095282596369,6.900000001581367,,,,,,0.0,36.92074144502047,6.9,575.0107820220649,7.546224622294169,98.2915455422334,4.7643730255047485,3.703842757653842,,,,,,,,,,
2025-10-15,FER437,7,,740.0,1068.4,1.4432899320127035e-15,37.300863927193994,7.3,,,,,,0.0,37.33133001025344,7.3,878.2338556665695,9.839813771702344,97.99958894852493,5.318934296822057,4.248142904329748,,,,,,,,,,
2025-10-15,FER437,8,,740.0,1537.9,9.645062526431047e-16,37.5,7.3,,,,,,0.0,37.5,7.3,1317.7078223626145,13.089963053706029,98.0107723002277,6.349872880235375,4.339128513056447,,,,,,,,,,
2025-10-15,FER437,9,,740.0,1941.5,1.457167719820518e-16,37.5,7.3,,,,,,0.0,37.5,7.3,1684.1647218601288,14.925869843460035,97.13165403786597,6.624656083670493,4.812259614460963,,,,,,,,,,
2025-10-15,FER437,10,,740.0,2337.8,0.01629968844496748,37.5,7.3,,,,,,0.01395833703994991,37.5,7.3,2050.112857859426,15.889462527148451,95.60122019176605,6.737132713017987,5.436798283777792,,,,,,,,,,
2025-10-15,FER437,11,,740.0,2603.3,0.03212772760347536,37.38139740010262,7.3,,,,,,0.02819601264910766,37.434934318060286,7.3,2436.911772960697,16.54813859273001,93.76822345072206,6.909740733229291,6.053442777221869,,,,,,,,,,
2025-10-15,FER437,12,,740.0,2902.5,0.03196093111237994,36.90283051114879,7.052141826040358,,,,,,0.02824758031527257,36.97624477004574,7.092578055973105,2822.3853305723887,17.7458976101076,92.03105391768169,7.367193217901279,6.651326850360813,,,,,,,,,,
2025-10-15,FER437,13,,740.0,3102.2,0.0182395352619594,36.41843484354106,6.9,,,,,,0.01614882020018691,36.486624490197045,6.9,3124.022814459742,18.833530749889764,89.92950675256631,7.683786187230386,7.707550018450245,,,,,,,,,,
2025-10-15,FER437,14,,740.0,3225.0,0.0,36.5,7.1,,,,,,0.0,36.5,7.1,3438.782910422229,20.253065740682963,87.56798784214396,8.130622946157992,9.059560069576495,,,,,,,,,,
