,Batch,Day,IGG,VCC,Viability,Glutamate,Ammonium,Normalized_Bolus_Feed,Temperature_setpoint,pH_setpoint
0,AR25-064-001,0,72.87315,0.5721,99.2,2.69,0.74,0.0,36.5,7.1
1,AR25-064-001,1,63.27947209635707,1.1230565189956385,100.77375618732448,3.4835879438333746,0.979526316709671,0.0,36.5,7.1
2,AR25-064-001,2,141.6197005668594,3.063446414183426,101.90235214487939,4.0744051470623335,0.7246410547297051,0.0,36.5,7.1
3,AR25-064-001,3,332.10462929879725,6.093552547398703,102.36204278187375,4.513502746341201,0.2091044946006582,0.040733198000000005,36.5,7.1
4,AR25-064-001,4,1084.8653649063879,9.014284580251681,100.4248209144952,4.431842255572014,0.33371683318212403,0.0,36.5,7.1
5,AR25-064-001,5,1449.959681560779,12.264553581724519,99.57936630621195,4.953688878066267,0.31593697851122554,0.0,35.0,7.1
6,AR25-064-001,6,3351.6666040157725,21.292643534052832,100.87330949090483,6.233209323330662,-0.11826110082969035,0.051343847,35.0,7.1
7,AR25-064-001,7,6196.723639847955,31.419377387994576,97.77337752724507,7.0771757518791505,0.7508540442801429,0.0,35.0,7.1
8,AR25-064-001,8,8798.42864414696,43.03645617959753,94.46783541282664,8.89704932850187,2.0044974725559834,0.05051286,35.0,7.1
9,AR25-064-001,9,12332.20438860503,55.116664734772776,86.41179790971785,10.303513657433106,4.756875157826056,0.0,35.0,7.1
10,AR25-064-001,10,15614.619112194487,68.03331202379937,77.8294926827278,12.679540354134275,8.059322292993985,0.044413041,35.0,7.1
11,AR25-064-001,11,19731.03606195675,80.90158588416388,64.55409671761045,14.704243646831573,12.866500664379167,0.0,35.0,7.1
12,AR25-064-001,12,23628.344405421474,94.02111846884497,50.37155261061143,17.58818465089934,18.314488154747043,0.038767396,35.0,7.1
13,AR25-064-001,13,28245.85324129617,106.60711620341273,31.70281255782533,20.165699962180845,25.2025279801799,0.0,35.0,7.1
14,AR25-064-001,14,32653.193773082043,118.91809359542847,11.925053066794607,23.485244399272897,32.7390856751968,0.0,35.0,7.1
15,AR25-064-003,0,73.21845,1.2252,98.9,2.79,0.75,0.0,36.5,7.1
16,AR25-064-003,1,77.47406650659302,1.8056607697802025,100.33318251787719,3.5495084261397962,0.9707992419735864,0.0,36.5,7.1
17,AR25-064-003,2,168.0304834891376,3.717376578626861,101.32376646809887,4.115747445369125,0.725102672421453,0.0,36.5,7.1
18,AR25-064-003,3,367.79808334238265,6.6698721861007755,101.65808993883927,4.537893930125829,0.23749979688144487,0.040733198000000005,36.5,7.1
19,AR25-064-003,4,1126.0256504731753,9.47449117423332,99.61599869293138,4.445007600296758,0.4003757280547571,0.0,36.5,7.1
20,AR25-064-003,5,1492.2769019891443,12.580958720069647,98.6917780746045,4.959541952054517,0.4238619945381934,0.0,35.0,7.1
21,AR25-064-003,6,3390.679643660355,21.448083376780236,99.93652617212855,6.234030645432716,0.027896990175307418,0.05144627,35.0,7.1
22,AR25-064-003,7,6229.206405219926,31.404173130472596,96.814559590841,7.07280123001486,0.9293117528806448,0.0,35.0,7.1
23,AR25-064-003,8,8819.121512475307,42.85133585499839,93.52303022586534,8.888910977317208,2.2036565240362846,0.050795625,35.0,7.1
24,AR25-064-003,9,12340.676849473484,54.7645617132482,85.49994880382948,10.287483676833418,4.968040043410193,0.0,35.0,7.1
25,AR25-064-003,10,15604.488621570734,67.52788331533573,76.99173356864745,12.65845242453248,8.266497484891014,0.044808799,35.0,7.1
26,AR25-064-003,11,19704.37680383308,80.25528633107102,63.799861911277155,14.67155875941771,13.060867118735532,0.0,35.0,7.1
27,AR25-064-003,12,23578.76585246523,93.25603063197033,49.74080629045752,17.54786156675199,18.479387069428682,0.039221602,35.0,7.1
28,AR25-064-003,13,28177.480793654166,105.74119270985233,31.195351232081293,20.110190069416706,25.331225181191154,0.0,35.0,7.1
