,Batch,Day,IGG,VCC,Viability,Glutamate,Ammonium,Normalized_Bolus_Feed,Temperature_setpoint,pH_setpoint
0,AR25-064-001,0,,,,,,0.0,36.5,7.1
1,AR25-064-001,1,,,,,,0.0,36.5,7.1
2,AR25-064-001,2,,,,,,0.0,36.5,7.1
3,AR25-064-001,3,,,,,,0.040733198000000005,36.5,7.1
4,AR25-064-001,4,,,,,,0.0,36.5,7.1
5,AR25-064-001,5,,,,,,0.0,35.0,7.1
6,AR25-064-001,6,,,,,,0.051343847,35.0,7.1
7,AR25-064-001,7,,,,,,0.0,35.0,7.1
8,AR25-064-001,8,,,,,,0.05051286,35.0,7.1
9,AR25-064-001,9,,,,,,0.0,35.0,7.1
10,AR25-064-001,10,,,,,,0.044413041,35.0,7.1
11,AR25-064-001,11,,,,,,0.0,35.0,7.1
12,AR25-064-001,12,,,,,,0.038767396,35.0,7.1
13,AR25-064-001,13,,,,,,0.0,35.0,7.1
14,AR25-064-001,14,,,,,,0.0,35.0,7.1
15,AR25-064-003,0,,,,,,0.0,36.5,7.1
16,AR25-064-003,1,,,,,,0.0,36.5,7.1
17,AR25-064-003,2,,,,,,0.0,36.5,7.1
18,AR25-064-003,3,,,,,,0.040733198000000005,36.5,7.1
19,AR25-064-003,4,,,,,,0.0,36.5,7.1
20,AR25-064-003,5,,,,,,0.0,35.0,7.1
21,AR25-064-003,6,,,,,,0.05144627,35.0,7.1
22,AR25-064-003,7,,,,,,0.0,35.0,7.1
23,AR25-064-003,8,,,,,,0.050795625,35.0,7.1
24,AR25-064-003,9,,,,,,0.0,35.0,7.1
25,AR25-064-003,10,,,,,,0.044808799,35.0,7.1
26,AR25-064-003,11,,,,,,0.0,35.0,7.1
27,AR25-064-003,12,,,,,,0.039221602,35.0,7.1
28,AR25-064-003,13,,,,,,0.0,35.0,7.1
29,AR25-064-003,14,,,,,,0.0,35.0,7.1
30,AR25-064-004,0,,,,,,0.0,36.5,7.1
31,AR25-064-004,1,,,,,,0.0,36.5,7.1
32,AR25-064-004,2,,,,,,0.0,36.5,7.1
33,AR25-064-004,3,,,,,,0.04072894400000001,36.5,7.1
34,AR25-064-004,4,,,,,,0.0,36.5,7.1
35,AR25-064-004,5,,,,,,0.0,35.0,7.1
36,AR25-064-004,6,,,,,,0.051335778,35.0,7.1
37,AR25-064-004,7,,,,,,0.0,35.0,7.1
38,AR25-064-004,8,,,,,,0.050502448,35.0,7.1
39,AR25-064-004,9,,,,,,0.0,35.0,7.1
40,AR25-064-004,10,,,,,,0.044401837,35.0,7.1
41,AR25-064-004,11,,,,,,0.0,35.0,7.1
42,AR25-064-004,12,,,,,,0.038753913,35.0,7.1
43,AR25-064-004,13,,,,,,0.0,35.0,7.1
44,AR25-064-004,14,,,,,,0.0,35.0,7.1
45,AR25-064-005,0,,,,,,0.0,36.5,7.1
46,AR25-064-005,1,,,,,,0.0,36.5,7.1
47,AR25-064-005,2,,,,,,0.0,36.5,7.1
48,AR25-064-005,3,,,,,,0.040733198000000005,36.5,7.1
49,AR25-064-005,4,,,,,,0.0,36.5,7.1
50,AR25-064-005,5,,,,,,0.0,35.0,7.1
51,AR25-064-005,6,,,,,,0.051325024,35.0,7.1
