Code_Run_Date,Bioreactor,Day,Date,IGG--STATE_SP,DAILY_NORMALIZED_FEED--INPUT_REF,IGG--STATE_DATA,VCC--STATE_DATA,VIABILITY--STATE_DATA,LACTATE--STATE_DATA,OSMO--STATE_DATA,DAILY_NORMALIZED_FEED--INPUT_DATA,TEMPERATURE--INPUT_DATA,PH_AT_TEMP--INPUT_DATA,DO--INPUT_DATA,IGG--STATE_PRED,VCC--STATE_PRED,VIABILITY--STATE_PRED,LACTATE--STATE_PRED,OSMO--STATE_PRED,IGG--STATE_EST,VCC--STATE_EST,VIABILITY--STATE_EST,LACTATE--STATE_EST,OSMO--STATE_EST,IGG--STATE_MOD,VCC--STATE_MOD,VIABILITY--STATE_MOD,LACTATE--STATE_MOD,OSMO--STATE_MOD
2024-06-10,MR24-030-803,0,,146.51,0.0035185869354867087,131.5267,13.3,99.1,1.03,323.0,0.0035185869354867087,34,6.988,0.493,131.5267,13.3,99.1,1.03,323.0,113.39375129972655,12.874738343472906,98.96226336182433,1.1944746655355933,328.83992225112263,1.0,1.0,1.0,1.0,1.0
2024-06-10,MR24-030-803,1,,509.83,0.007451662325897955,467.44,15.9,98.4,2.83,325.0,0.007451662325897955,34,7.113,0.495,467.44,15.900000000000002,98.4,2.4305776455344774,314.6724047833321,437.0675364423173,15.821755746015722,98.3099220496515,2.732378348341783,314.56163611787207,1.0,1.0,1.0,1.0,1.0
2024-06-10,MR24-030-803,2,,997.91,0.005548051713372219,945.81,23.2,98.2,3.38,320.0,0.005548051713372219,34,7.156,0.511,945.81,23.2,98.2,3.1003499919036255,308.118692187168,866.5709694838209,21.905741772797818,97.34869259172022,3.3914888734150055,321.8164803976784,1.0,1.0,1.0,1.0,1.0
2024-06-10,MR24-030-803,3,,1505.08,0.010049630966115337,1377.43,23.1,95.1,4.63,335.0,0.010049630966115337,34,7.287,0.52,1377.43,23.100000000000005,95.1,3.7873264100973736,317.325212891982,1305.9611269394577,22.340490030148228,94.3714363872075,3.937039381681966,332.38223801568313,1.0,1.0,1.0,1.0,1.0
2024-06-10,MR24-030-803,4,,2119.61,0.007665257881162565,1649.175,22.1,93.1,3.65,352.0,0.036073866668902166,34,7.299,0.511,1649.175,22.099999999999998,93.1,3.4844184441029786,329.94158489332875,1649.175,22.1,93.1,3.4844184441029786,329.9415848933288,1.0,1.0,1.0,1.0,1.0
2024-06-10,MR24-030-803,5,,2716.05,0.008604140037068678,,,,,,0.008172605236722839,34,7.2,0.5,2296.5822623041154,25.00278688452333,93.61837364482892,2.9027209385309862,308.44035668275353,,,,,,,,,,
2024-06-10,MR24-030-803,6,,3307.9,0.013310365074853989,,,,,,0.00450000024436272,34,7.2,0.5,3058.648449016266,26.331197147388046,93.1828019135499,2.002975801442154,296.4407646061576,,,,,,,,,,
2024-06-10,MR24-030-803,7,,3888.32,0.01883119734441245,,,,,,0.004500000027133311,34,7.2,0.5,3779.0081339714247,24.97614923051895,91.92070510189355,1.087336370754974,292.40703317600963,,,,,,,,,,
2024-06-10,MR24-030-803,8,,4309.7,0.02087022845100829,,,,,,0.00986012562659525,34,7.2,0.5,4395.696646081621,21.97823672221177,90.00830702838033,0.3819376660160191,294.60193652315064,,,,,,,,,,
2024-06-10,MR24-030-803,9,,4805.73,0.017020748337124955,,,,,,0.014740070028104485,34,7.2,0.5,4906.660355759562,18.676695493374105,87.6586241140537,-0.018334373375096375,301.3959981320518,,,,,,,,,,
2024-06-10,MR24-030-803,10,,5302.42,0.01014247565414167,,,,,,0.012598715191986694,34,7.2,0.5,5348.126319564166,16.02126263643163,85.0884895463027,-0.1465750543376915,310.67913544278855,,,,,,,,,,
2024-06-10,MR24-030-803,11,,5791.69,0.004500000000000004,,,,,,0.006514003124329093,34,7.2,0.5,5749.074274629076,14.185983888716251,82.51309618935704,-0.11994370620950144,319.6727064648169,,,,,,,,,,
2024-06-10,MR24-030-803,12,,6118.18,0.0,,,,,,0.0,34,7.2,0.5,6111.480012249942,12.851248870389314,80.08592246284894,-0.056353755554534334,326.293118406161,,,,,,,,,,
