Code_Run_Date,Bioreactor,Day,Date,IGG--STATE_SP,DAILY_NORMALIZED_FEED--INPUT_REF,IGG--STATE_DATA,VCC--STATE_DATA,VIABILITY--STATE_DATA,LACTATE--STATE_DATA,OSMO--STATE_DATA,DAILY_NORMALIZED_FEED--INPUT_DATA,TEMPERATURE--INPUT_DATA,PH_AT_TEMP--INPUT_DATA,DO--INPUT_DATA,IGG--STATE_PRED,VCC--STATE_PRED,VIABILITY--STATE_PRED,LACTATE--STATE_PRED,OSMO--STATE_PRED,IGG--STATE_EST,VCC--STATE_EST,VIABILITY--STATE_EST,LACTATE--STATE_EST,OSMO--STATE_EST,IGG--STATE_MOD,VCC--STATE_MOD,VIABILITY--STATE_MOD,LACTATE--STATE_MOD,OSMO--STATE_MOD
2024-06-08,MR24-030-803,0,,146.51,0.003547713794102517,131.5267,13.3,99.1,1.03,323.0,0.003547713794102517,34,6.988,0.493,131.5267,13.3,99.1,1.03,323.0,105.45748545268829,12.87166140367823,98.95918822063597,1.1917362735085162,329.3003914406773,1.0,1.0,1.0,1.0,1.0
2024-06-08,MR24-030-803,1,,509.83,0.00740842876722449,,15.9,98.4,2.83,325.0,0.00740842876722449,34,7.113,0.495,405.3050622118662,15.647559851495213,98.67495955455658,2.4321244309674714,314.79661316214595,355.7893450268632,15.654672556470688,98.45493604961632,2.722289512699941,313.6170453686488,1.0,1.0,1.0,1.0,1.0
2024-06-08,MR24-030-803,2,,997.91,0.007231089180244475,,23.2,98.2,3.38,320.0,0.005616105927938928,34,7.156,0.511,857.970288882576,22.14424248009749,98.46332836349761,3.111631274983352,308.0652885951319,857.970288882576,22.14424248009749,98.46332836349761,3.111631274983352,308.0652885951319,1.0,1.0,1.0,1.0,1.0
2024-06-08,MR24-030-803,3,,1505.08,0.00838437897614103,,,,,,0.0075089830915956455,34,7.2,0.5,1471.4805366306234,24.820241986444106,98.70154437622153,2.5987681695967724,289.7108343693145,,,,,,,,,,
2024-06-08,MR24-030-803,4,,2119.61,0.010582078752861438,,,,,,0.010619196488085998,34,7.2,0.5,2121.3504568563358,25.516278607591616,98.1365677903535,1.8978278247878215,281.98451034385465,,,,,,,,,,
2024-06-08,MR24-030-803,5,,2716.05,0.013020241186230921,,,,,,0.013722250467471222,34,7.2,0.5,2746.5077477069503,24.409534809508727,96.9009143660772,1.213657562659666,280.8093192683753,,,,,,,,,,
2024-06-08,MR24-030-803,6,,3307.9,0.014977378548434832,,,,,,0.015906313014691732,34,7.2,0.5,3324.639055360839,22.38967777888018,95.10357661974562,0.7019314552716889,285.0479718673602,,,,,,,,,,
2024-06-08,MR24-030-803,7,,3888.32,0.016042157881738517,,,,,,0.01682491810892565,34,7.2,0.5,3856.7254343313007,20.231981678847315,92.93196035331229,0.40019530572410306,292.646145092615,,,,,,,,,,
2024-06-08,MR24-030-803,8,,4309.7,0.01549652570011878,,,,,,0.015964507525841425,34,7.2,0.5,4355.596531226958,18.39962287041677,90.56943322769395,0.26789284409064423,301.51366600735605,,,,,,,,,,
2024-06-08,MR24-030-803,9,,4805.73,0.012867677097233826,,,,,,0.01305153615051618,34,7.2,0.5,4834.238718453494,17.01989753758167,88.1525741046212,0.23162257677577858,310.0266610945799,,,,,,,,,,
2024-06-08,MR24-030-803,10,,5302.42,0.00882205279694101,,,,,,0.008853847940050947,34,7.2,0.5,5296.487814102212,15.963247691868027,85.76482106203852,0.22084751939695968,317.16079734966354,,,,,,,,,,
2024-06-08,MR24-030-803,11,,5791.69,0.004500000000000032,,,,,,0.0045000000000000534,34,7.2,0.5,5734.571720146531,14.994560834509711,83.44497174419634,0.19041492899365522,322.5091436632247,,,,,,,,,,
2024-06-08,MR24-030-803,12,,6118.18,0.0,,,,,,0.0,34,7.2,0.5,6133.45610834854,13.918885894275567,81.20198500811765,0.12685299849665665,326.1819496073942,,,,,,,,,,
