Batch,Day,IGG,VCC,Viability,Diameter,Ammonium,Glutamate,Normalized_Bolus_Feed,Temperature,pH_setpoint
MPC25-001-004,3,207.6147128,5.752109873,97.46271156,16.07511771,2.467703916,3.423240426,0.042434169,36.5,6.9
MPC25-001-004,4,436.0413553,8.233710642,97.43923848,16.0184251,2.842804764,4.430604191,0,35,6.9
MPC25-001-004,5,880.9770471,9.336342086,96.68033712,15.90167491,3.152020363,4.45288029,0,35,6.9
MPC25-001-004,6,1292.118647,9.867575136,95.74080641,16.20352945,3.858414626,4.189471216,0.053031757,35,6.9
MPC25-001-004,7,1701.732006,10.49564728,95.04173483,16.53928933,4.553011167,3.897025403,0,35,6.9
MPC25-001-004,8,2155.108761,10.22172923,93.64629406,17.2214287,5.494493745,3.790953979,0.053633643,35,6.9
MPC25-001-004,9,2650.386805,10.23295137,92.53869163,17.51612236,6.182463008,4.038013779,0,35,6.9
MPC25-001-004,10,3213.925117,9.6815725,90.76518251,17.82326876,6.885062236,4.390721449,0.048951202,35,6.9
MPC25-001-004,11,3812.128302,9.641852638,89.21191966,17.67872401,7.195028839,4.624162348,0,35,6.9
MPC25-001-004,12,4446.480881,9.159279715,86.91173466,17.69002549,7.397944714,4.348148484,0.0438877,35,6.9
MPC25-001-004,13,5079.889543,8.986409005,84.57463332,17.55937903,7.105432084,3.471214959,0,35,6.9
MPC25-001-004,14,5723.354085,8.133567304,81.27218049,17.77712714,6.468714771,1.912621592,0,35,6.9
MPC25-001-005,0,75.02,1,98.6,15.44,0.73,2.79,0,36.5,7.1
MPC25-001-005,1,16.11164495,2.222309585,98.62958176,15.41487235,1.310586905,2.878888164,0,36.5,7.1
MPC25-001-005,2,7.281640088,3.684477669,98.67787449,15.59856925,1.968783879,3.069729147,0,36.5,7.1
MPC25-001-005,3,79.87422207,5.406236845,98.73396058,15.85500254,2.670750065,3.611050424,0.037411268,36.5,7.1
MPC25-001-005,4,270.8435769,8.023254317,99.07758549,15.8632252,3.134781091,4.489156641,0,36.5,7.1
MPC25-001-005,5,608.9195343,10.84528077,98.99610906,15.95446879,3.639946385,5.58206161,0,35,7.1
MPC25-001-005,6,1148.991768,12.47121762,98.54327116,15.86983691,4.131573907,5.788592757,0.0468399,35,7.1
MPC25-001-005,7,1685.67845,14.1859345,98.20552515,16.02894043,4.763546051,5.5532368,0,35,7.1
MPC25-001-005,8,2256.218337,14.88035419,97.11844922,16.7932111,5.822426452,5.266960617,0.04749481,35,7.1
MPC25-001-005,9,2871.837809,15.49219333,96.16174979,17.43153561,6.859251244,5.395628743,0,35,7.1
MPC25-001-005,10,3573.910169,15.3061494,94.5425459,18.11561002,8.070384834,5.970030052,0.043439271,35,7.1
MPC25-001-005,11,4344.242729,15.41144003,93.11525079,18.26542164,9.063017823,6.844734458,0,35,7.1
MPC25-001-005,12,5183.005023,15.10654816,91.07742705,18.35860633,10.10178911,7.527699796,0.039029597,35,7.1
MPC25-001-005,13,6045.829608,15.13541198,89.08273158,18.19936362,10.89872686,7.696932387,0,35,7.1
MPC25-001-005,14,6929.633804,14.59787656,86.29517019,18.37176148,11.66598143,7.089354107,0,35,7.1
MPC25-001-006,0,75.02,0.5,98.6,15.44,0.73,2.79,0,36.5,7.3
MPC25-001-006,1,-29.94716902,1.643348696,99.03556353,15.33272593,1.395424612,3.056087036,0,36.5,7.3
MPC25-001-006,2,-80.45450744,3.173001737,99.51739782,15.42047675,2.115300136,3.318998379,0,36.5,7.3
MPC25-001-006,3,-47.86626862,5.060363817,100.0052096,15.63488737,2.873796213,3.798860422,0.032369717,36.5,7.3
MPC25-001-006,4,105.6405312,7.812527435,100.7157977,15.70811177,3.42688864,4.547770041,0,36.5,7.3
MPC25-001-006,5,413.5988945,10.81439012,101.0178245,15.89653312,4.003665173,5.541993937,0,36.5,7.3
MPC25-001-006,6,865.3637781,14.19514396,101.2064957,16.02342024,4.650077977,6.894418778,0.040602245,35,7.3
MPC25-001-006,7,1552.795334,16.97742981,101.2729774,15.78562601,5.050274832,7.236022468,0,35,7.3
MPC25-001-006,8,2270.539366,18.88396058,100.5802187,16.27874977,5.982047999,7.086266976,0.041278175,35,7.3
MPC25-001-006,9,3022.356717,20.47798827,99.85031087,16.97912567,7.127971546,7.034906044,0,35,7.3
MPC25-001-006,10,3855.509595,20.998732,98.40079513,17.96784095,8.661692688,7.440734523,0.037833861,35,7.3
MPC25-001-006,11,4772.68455,21.41424154,97.02813231,18.55391738,10.20105026,8.457309303,0,35,7.3
MPC25-001-006,12,5787.108329,21.25137917,95.10825699,18.96759775,11.93979968,9.738692897,0.034067647,35,7.3
MPC25-001-006,13,6860.401669,21.32029433,93.27450744,18.957196,13.630491,10.8681943,0,35,7.3
MPC25-001-006,14,7978.835232,20.93091472,90.82623496,19.09068527,15.51007754,11.36312734,0,35,7.3
MPC25-001-007,0,75.02,1.5,98.6,15.44,0.73,2.79,0,36.5,7.3
MPC25-001-007,1,41.03482888,3.023799092,98.91284811,15.32043123,1.145529209,3.071631697,0,36.5,7.3
MPC25-001-007,2,69.57200209,4.905319521,99.20830706,15.37882373,1.584763573,3.343106706,0,36.5,7.3
MPC25-001-007,3,183.6525625,7.086911055,99.44742162,15.5564088,2.046520744,3.807432023,0.042434169,36.5,7.3
MPC25-001-007,4,417.7974792,10.18730504,99.92406085,15.54929714,2.232193732,4.476601189,0,35,7.3
MPC25-001-007,5,880.2333134,11.80764338,99.5278987,15.61761767,2.327857713,4.145824698,0,35,7.3
MPC25-001-007,6,1331.214799,12.74235352,98.8190857,16.13140334,2.754330086,3.677939785,0.053031757,35,7.3
MPC25-001-007,7,1808.73478,13.70699388,98.24034845,16.59182553,3.064604396,3.382077124,0,35,7.3
MPC25-001-007,8,2353.895884,13.75667168,96.8757232,17.25477224,3.507486955,3.397312739,0.053633643,35,7.3
MPC25-001-007,9,2950.887252,14.08669457,95.71762336,17.41122153,3.607773677,3.740298003,0,35,7.3
MPC25-001-007,10,3607.101868,13.79053071,93.80737369,17.54349981,3.681713595,4.028639433,0.048951202,35,7.3
MPC25-001-007,11,4271.231987,13.83572746,92.02306918,17.27492931,3.370396621,3.987630005,0,35,7.3
MPC25-001-007,12,4932.610652,13.15834137,89.4001226,17.25652845,2.988083253,3.277177472,0.0438877,35,7.3
MPC25-001-007,13,5547.939307,12.44333172,86.67114303,17.1710664,2.148309621,1.914008828,0,35,7.3
MPC25-001-007,14,6124.883029,10.69586144,82.95041385,17.44446612,0.984981062,-0.08478639,0,35,7.3
