Batch,Day,IGG,VCC,Viability,Diameter,Ammonium,Glutamate,Normalized_Bolus_Feed,Temperature,pH_setpoint
MPC25-001-001,0,72.87315,1.5,99.2,15.59,0.74,2.69,0,36.5,6.9
MPC25-001-001,1,69.15382445,2.733034134,98.77754709,15.61751579,1.222214234,2.68832926,0,36.5,6.9
MPC25-001-001,2,110.2340252,4.092066791,98.35825313,15.83849687,1.795773641,2.865055184,0,36.5,6.9
MPC25-001-001,3,226.2899851,5.630022129,97.95344412,16.08452042,2.421364,3.459430175,0.042434169,36.5,6.9
MPC25-001-001,4,451.4076987,8.083585008,97.89698365,16.00904719,2.787512403,4.392569743,0,36.5,6.9
MPC25-001-001,5,810.2289368,10.66584191,97.3898954,16.02313355,3.220913721,5.477566766,0,36.5,6.9
MPC25-001-001,6,1272.372121,13.52017418,96.83239787,15.98995156,3.803486114,6.78113065,0.053031757,35,6.9
MPC25-001-001,7,1926.111175,15.80885469,96.31270836,15.60645747,4.155449271,6.898066182,0,35,6.9
MPC25-001-001,8,2570.945374,16.97358016,94.96765675,16.11424483,5.136329161,6.400685968,0.053633643,35,6.9
MPC25-001-001,9,3212.160425,17.82010263,93.74963556,16.83573773,6.309916699,6.009153399,0,35,6.9
MPC25-001-001,10,3911.244633,17.40778556,91.7719457,17.90193378,7.885756343,6.146731243,0.048951202,35,6.9
MPC25-001-001,11,4672.926151,17.01574791,90.06049575,18.4454729,9.355346671,7.001654437,0,35,6.9
MPC25-001-001,12,5517.880296,16.04602223,87.79992774,18.7786795,10.95441122,8.15208223,0.0438877,35,6.9
MPC25-001-001,13,6401.740001,15.55860844,85.80491155,18.57078709,12.34927386,9.110905815,0,35,6.9
MPC25-001-001,14,7312.215036,14.6848558,83.17722108,18.53321633,13.83699071,9.309620844,0,35,6.9
MPC25-001-002,0,73.21845,1.5,98.9,15.4,0.75,2.79,0,36.5,7.3
MPC25-001-002,1,31.34184825,2.98938308,99.20140552,15.33504075,1.203726123,2.987830152,0,36.5,7.3
MPC25-001-002,2,53.30453081,4.806108485,99.48148391,15.45089828,1.680378777,3.229178987,0,36.5,7.3
MPC25-001-002,3,164.8928647,6.921467397,99.70946642,15.6576042,2.16538881,3.725570549,0.032369717,36.5,7.3
MPC25-001-002,4,398.0326643,9.836423997,100.1116318,15.68604715,2.425601219,4.494327129,0,35,7.3
MPC25-001-002,5,855.060138,11.37609024,99.77065361,15.69917908,2.584279052,4.302680988,0,35,7.3
MPC25-001-002,6,1299.84962,12.29725967,99.14445941,16.14258685,3.077511607,3.916511048,0.040602245,35,7.3
MPC25-001-002,7,1764.225436,13.10948046,98.57243751,16.62057841,3.560772861,3.659682634,0,35,7.3
MPC25-001-002,8,2285.157139,13.09689914,97.36523828,17.27896378,4.20588978,3.716759853,0.041278175,35,7.3
MPC25-001-002,9,2855.300635,13.22180057,96.30073387,17.51967518,4.624796858,4.124706712,0,35,7.3
MPC25-001-002,10,3481.919054,12.83980703,94.65215755,17.68640946,5.044916616,4.551834306,0.037833861,35,7.3
MPC25-001-002,11,4124.051398,12.73518451,93.09521271,17.49855519,5.182022688,4.710743153,0,35,7.3
MPC25-001-002,12,4771.017439,12.09444407,90.86890759,17.49602141,5.275081167,4.266761511,0.034067647,35,7.3
MPC25-001-002,13,5388.663123,11.43532439,88.51402021,17.47228465,5.012249296,3.195741965,0,35,7.3
MPC25-001-002,14,5985.659276,9.967181058,85.31081463,17.77684656,4.467694112,1.516548681,0,35,7.3
MPC25-001-003,0,75.18855,1.5,98.9,15.27,0.69,2.81,0,36.5,7.3
MPC25-001-003,1,16.93222518,2.96561691,99.20285429,15.28155159,1.187137706,2.860476228,0,36.5,7.3
MPC25-001-003,2,23.31906286,4.703116895,99.47557346,15.4920415,1.711761362,3.030700254,0,36.5,7.3
MPC25-001-003,3,125.2298192,6.725567258,99.70119236,15.75723522,2.227368189,3.561512903,0.032369717,36.5,7.3
MPC25-001-003,4,355.8374434,9.58134173,100.1171246,15.78017697,2.490542658,4.438245002,0,35,7.3
MPC25-001-003,5,814.8033195,11.12242254,99.80840154,15.7345301,2.62988523,4.359880667,0,35,7.3
MPC25-001-003,6,1261.498375,12.10005644,99.225912,16.10460963,3.097342305,4.029796144,0.040602245,35,7.3
MPC25-001-003,7,1724.255633,12.99302631,98.69718422,16.536782,3.564592825,3.748905665,0,35,7.3
MPC25-001-003,8,2239.492212,13.04948869,97.52284471,17.1986995,4.210994759,3.726370097,0.041278175,35,7.3
MPC25-001-003,9,2802.305209,13.21074772,96.47744085,17.48433651,4.644327699,4.052190779,0,35,7.3
MPC25-001-003,10,3423.763829,12.8357646,94.83822792,17.70760996,5.080137808,4.44372292,0.037833861,35,7.3
MPC25-001-003,11,4065.860058,12.73105572,93.28890287,17.55534962,5.222549275,4.632313369,0,35,7.3
MPC25-001-003,12,4718.496034,12.10894571,91.0754228,17.55043029,5.306207139,4.265309473,0.034067647,35,7.3
MPC25-001-003,13,5345.66506,11.50095369,88.74080846,17.49240352,5.02473917,3.278459355,0,35,7.3
MPC25-001-003,14,5953.005467,10.1110191,85.56243704,17.75393933,4.464607472,1.653481289,0,35,7.3
MPC25-001-004,0,74.12251,1.5,98.7,15.82,0.7,2.73,0,36.5,6.9
MPC25-001-004,1,108.5073464,2.859193561,98.29837038,15.6068186,1.032916212,3.06802762,0,36.5,6.9
MPC25-001-004,2,179.3305951,4.459175928,97.91443455,15.59040966,1.468374009,3.339770173,0,36.5,6.9
MPC25-001-004,3,305.9672385,6.227489016,97.52439843,15.73038118,2.019827679,3.76421223,0.042434169,36.5,6.9
MPC25-001-004,4,522.7581445,8.786200748,97.44125786,15.72062689,2.391829989,4.391797008,0,35,6.9
MPC25-001-004,5,940.4519092,9.765357934,96.57727839,15.80271264,2.763896988,4.056471442,0,35,6.9
MPC25-001-004,6,1323.192093,10.01051395,95.51523614,16.32447005,3.545624539,3.640700876,0.053031757,35,6.9
MPC25-001-004,7,1713.211326,10.29916998,94.71576091,16.77437367,4.279206079,3.447845671,0,35,6.9
MPC25-001-004,8,2156.075306,9.746296081,93.27216324,17.41140071,5.205409684,3.594481582,0.053633643,35,6.9
MPC25-001-004,9,2641.386205,9.596947993,92.17596446,17.54218648,5.842557629,4.07504646,0,35,6.9
MPC25-001-004,10,3183.932008,8.983758676,90.45840364,17.66747778,6.498640447,4.500166306,0.048951202,35,6.9
MPC25-001-004,11,3742.418122,8.908007179,88.98066316,17.42158374,6.801739496,4.608226971,0,35,6.9
MPC25-001-004,12,4318.601959,8.339909241,86.75659438,17.45416201,7.047914651,4.085520898,0.0438877,35,6.9
MPC25-001-004,13,4882.997965,8.000844427,84.49348157,17.43673546,6.829978439,2.975102554,0,35,6.9
MPC25-001-004,14,5457.072913,6.930564687,81.27604262,17.78172433,6.263235135,1.308469106,0,35,6.9
MPC25-001-005,0,78.40981,1,99.2,15.31,0.75,2.78,0,36.5,7.1
MPC25-001-005,1,-5.633256192,2.115691256,99.20440448,15.43863944,1.43978555,2.63910591,0,36.5,7.1
MPC25-001-005,2,-35.91448333,3.389123619,99.2196788,15.78094147,2.205211196,2.753485325,0,36.5,7.1
MPC25-001-005,3,26.49208635,4.92203204,99.25806222,16.1149446,2.975960483,3.392161265,0.037411268,36.5,7.1
MPC25-001-005,4,219.0790666,7.428597289,99.61368216,16.08876509,3.456692759,4.462295816,0,36.5,7.1
MPC25-001-005,5,565.0579414,10.25285959,99.57111622,16.06789153,3.938080106,5.718123013,0,35,7.1
MPC25-001-005,6,1111.949528,11.97183388,99.16572749,15.86598138,4.390229306,5.962862459,0.0468399,35,7.1
MPC25-001-005,7,1649.838868,13.81208443,98.85949536,15.96870684,4.986877363,5.621956687,0,35,7.1
MPC25-001-005,8,2216.753,14.60640945,97.76873203,16.76117954,6.01612151,5.144151985,0.04749481,35,7.1
MPC25-001-005,9,2829.160962,15.26569555,96.76584939,17.48527177,7.010382301,5.087667143,0,35,7.1
MPC25-001-005,10,3534.741446,15.08813482,95.06180748,18.25549181,8.136672899,5.553804634,0.043439271,35,7.1
MPC25-001-005,11,4318.870118,15.20129897,93.51907954,18.43906022,8.976273497,6.407961418,0,35,7.1
MPC25-001-005,12,5180.427274,14.93832939,91.33921734,18.4932045,9.781963027,7.108550082,0.039029597,35,7.1
MPC25-001-005,13,6069.372418,15.0497745,89.17105097,18.240778,10.26962526,7.256050375,0,35,7.1
MPC25-001-005,14,6975.016169,14.60685307,86.16613604,18.30789413,10.66388002,6.525560557,0,35,7.1
MPC25-001-006,0,75.38505,0.5,98.7,15.31,0.75,2.93,0,36.5,7.3
MPC25-001-006,1,-40.13740471,1.675598146,99.15684479,15.24996779,1.46049113,3.054048624,0,36.5,7.3
MPC25-001-006,2,-102.3789039,3.17729296,99.64519134,15.43058195,2.243021537,3.214421478,0,36.5,7.3
MPC25-001-006,3,-76.52969441,5.003435127,100.1357343,15.72857752,3.059143595,3.68878186,0.032369717,36.5,7.3
MPC25-001-006,4,78.65724742,7.707445736,100.8578738,15.8332082,3.648414811,4.527475877,0,36.5,7.3
MPC25-001-006,5,396.0518208,10.71251582,101.1868185,15.99214444,4.237852653,5.653874422,0,36.5,7.3
MPC25-001-006,6,861.3337215,14.15822798,101.4147475,16.05484003,4.884987536,7.112104552,0.040602245,35,7.3
MPC25-001-006,7,1562.274613,17.04739166,101.5223056,15.76065325,5.29110078,7.488256218,0,35,7.3
MPC25-001-006,8,2291.52143,19.06704499,100.860297,16.23868405,6.246529221,7.302553407,0.041278175,35,7.3
MPC25-001-006,9,3053.960394,20.75006906,100.1430301,16.97243514,7.435428864,7.185143916,0,35,7.3
MPC25-001-006,10,3900.271055,21.32608128,98.68743031,18.02307258,9.022500485,7.547670434,0.037833861,35,7.3
MPC25-001-006,11,4836.827389,21.77626299,97.29497536,18.66684211,10.61226452,8.57813213,0,35,7.3
MPC25-001-006,12,5878.853605,21.6523629,95.34774262,19.10794424,12.38854669,9.929488294,0.034067647,35,7.3
MPC25-001-006,13,6987.447544,21.78486978,93.48168722,19.08889874,14.10219955,11.15273431,0,35,7.3
MPC25-001-006,14,8146.454286,21.48751514,90.99301377,19.19285821,15.99624744,11.72247149,0,35,7.3
