,IGG,VCC,Viability,Diameter,Ammonium,Glutamate,Normalized_Bolus_Feed,Temperature,pH_setpoint
0,75.02,1.5,98.60000000000001,15.440000000000001,0.73,2.79,0.0,36.5,6.9
1,62.170458914730034,2.801270472734147,98.22359999518282,15.497018766521931,1.2257491985677138,2.701689290870525,0.0,36.5,6.9
2,95.01778761363913,4.195953602159716,97.83835117073625,15.776661738158614,1.8222676220792455,2.820459915353587,0.0,36.5,6.9
3,207.61471276337002,5.752109872814545,97.46271156360335,16.075117707010552,2.467703916343471,3.423240426344247,0.042434169,36.5,6.9
4,436.04135534754005,8.233710642244308,97.43923847546816,16.01842510033768,2.842804764423173,4.430604191101669,0.0,36.5,6.9
5,804.2171021963713,10.875751240223503,96.97434842459384,16.012462320118473,3.2764980041324274,5.622342562882122,0.0,36.5,6.9
6,1279.0581634941755,13.825604836443135,96.4681609256759,15.937834872008189,3.8624550910903306,7.022033675027471,0.053031757,35.0,6.9
7,1945.8846900743602,16.230482821959487,96.00469566162866,15.519475463826153,4.236890029601654,7.197216356678851,0.0,35.0,6.9
8,2602.661617195977,17.507621279602983,94.71627543552735,16.02113419165257,5.272964927263059,6.722801307404986,0.053633643,35.0,6.9
9,3255.288690673284,18.442893352505102,93.55427490157011,16.770439450329967,6.541589496843605,6.347425474779898,0.0,35.0,6.9
10,3967.54973508851,18.090611273550184,91.63614197782043,17.886240487773467,8.253138918923367,6.531082830795417,0.048951202,35.0,6.9
11,4746.927567619171,17.741141348465806,89.99591063741018,18.480941396535698,9.897554006307663,7.487077473095946,0.0,35.0,6.9
12,5616.141462826536,16.817140668856183,87.82716818896428,18.851215550003243,11.711512409697304,8.795977927396912,0.0438877,35.0,6.9
13,6531.72547540192,16.398230380630814,85.95105053937124,18.663926459643875,13.367787227911956,9.953302532325798,0.0,35.0,6.9
14,7481.6518537998145,15.62674935582212,83.47152867839742,18.641815443460438,15.174913287686763,10.366853418125583,0.0,35.0,6.9
15,75.02,1.5,98.60000000000001,15.440000000000001,0.73,2.79,0.0,36.5,7.3
16,41.034828876823155,3.023799091969841,98.91284811493367,15.320431232832844,1.1455292089976385,3.0716316972692415,0.0,36.5,7.3
17,69.5720020896306,4.905319520904545,99.20830706206,15.378823727850778,1.584763573445449,3.34310670580102,0.0,36.5,7.3
18,183.65256254289267,7.08691105461278,99.44742162397255,15.556408795930082,2.0465207444737987,3.8074320225380784,0.032369717,36.5,7.3
19,414.9550273645917,10.041299344794645,99.85128570396355,15.595956933189004,2.303007519183842,4.50949221895489,0.0,35.0,7.3
20,867.7825344096622,11.580888946303096,99.50349867616202,15.648841003798745,2.4737824599264715,4.260921630956097,0.0,35.0,7.3
21,1308.7086251277376,12.469967935893981,98.86857675878419,16.134893179335847,2.9863633063915915,3.8627123475744463,0.040602245,35.0,7.3
22,1771.30059729812,13.23901366746032,98.29481958291997,16.634483668391283,3.489271790318006,3.6467507952398894,0.0,35.0,7.3
23,2292.390451709296,13.193496073690909,97.10004253632763,17.284397503377537,4.153916362264801,3.7778571438690984,0.041278175,35.0,7.3
24,2862.8914281405014,13.306094087361389,96.0650339902745,17.49579759850624,4.599157741237117,4.260263132203804,0.0,35.0,7.3
25,3487.918379016778,12.928363604479994,94.46190403697342,17.63279171804606,5.063427851524886,4.736804125157338,0.037833861,35.0,7.3
26,4125.329828941714,12.83134918927394,92.96361982522167,17.434013273379847,5.272528124426618,4.915781392844622,0.0,35.0,7.3
27,4765.0246148575125,12.189367324095636,90.80781779042057,17.447262280756796,5.47059383196786,4.4800970597850736,0.034067647,35.0,7.3
28,5375.05218036632,11.517861074901624,88.53701940441266,17.459871842376717,5.345384085206789,3.433727205810727,0.0,35.0,7.3
