Asset Name,Experiment,Batch,Sample_Time,Day,TCC,VCC,Viability,Diameter,Osmolality,Ammonium,Calcium,Glucose,Glutamine,Glutamate,Lactate,Potassium,Sodium,Bicarbonate,pCO2 at Temp,pO2 at Temp,pH at Temp,IGG,DO,pH_setpoint,pH_setpoint_low,pH_setpoint_high,Temperature_setpoint,Daily_Feed,Normalized_Daily_Feed,Volume
CD19/CD20,AR25-094,AR25-094-014,10/29/2025 8:43,7,34.5103,26.8338,77.8,14.62,285,4.56,0.51,1.96,0.66,0.61,0.07,4.17,115.9,19.3,52.3,66.2,7.17,2811.435,50,7.1,7,7.2,35,2.36,0.012055578,195.76
CD19/CD20,AR25-094,AR25-094-014,10/30/2025 8:43,8,33.308,23.9519,71.9,14.54,307,4.61,0.55,4.77,0.93,0.69,0.09,4.16,118,16.3,46.7,58.8,7.15,,50,7.1,7,7.2,35,2.28,0.011597152,196.6
CD19/CD20,AR25-094,AR25-094-014,10/31/2025 8:43,9,32.5896,22.7188,69.7,14.58,307,4.5,0.54,3.15,1.24,0.89,0.12,4.21,120.4,10.5,28.4,67.5,7.17,3253.425,50,7.1,7,7.2,35,2.09,0.010701485,195.3
CD19/CD20,AR25-094,AR25-094-014,11/1/2025 8:36,10,33.308,21.3608,64.1,14.42,307,4.73,0.53,1.64,1.45,1.31,0.16,4.4,123,5.7,16.5,65.9,7.14,,50,7.1,7,7.2,35,1.91,0.009850438,193.9
CD19/CD20,AR25-094,AR25-094-014,11/2/2025 8:43,11,32.9384,20.0903,61,14.22,333,5.01,0.55,4.45,1.47,1.58,0.38,4.4,125,3,12.6,70.1,6.98,3149.115,50,7.1,7,7.2,35,1.89,0.009705248,194.74
CD19/CD20,AR25-094,AR25-094-014,11/3/2025 8:42,12,33.6404,20.3559,60.5,13.97,345,5.42,0.55,2.59,1.44,1.81,0.75,4.53,132.8,2.9,12.6,71.7,6.96,3217.965,50,7.1,7,7.2,35,1.71,0.008825806,193.75
CD19/CD20,AR25-094,AR25-094-013,10/22/2025 12:11,0,14.3066,14.2104,99.3,14.73,307,0.75,0.73,6.51,1.13,2.38,0.3,6.4,103.7,24.4,69.5,79.3,7.15,106.6323,50,6.9,6.8,7,35,0,0,196.23
CD19/CD20,AR25-094,AR25-094-013,10/23/2025 10:16,1,22.9083,22.581,98.6,14.7,294,2.55,0.66,4.26,0.77,3.06,0.18,4.95,110.1,40.6,84.2,55.4,7.29,566.7476,50,6.9,6.8,7,35,1.39,0.007108884,195.53
CD19/CD20,AR25-094,AR25-094-013,10/24/2025 8:30,2,31.2624,30.681,98.1,14.16,274,2.23,0.59,1.98,0.27,2.13,0.02,3.86,112.8,48.8,125.3,93.8,7.19,,50,6.9,6.8,7,35,2.27,0.011689582,194.19
CD19/CD20,AR25-094,AR25-094-013,10/25/2025 8:36,3,30.1427,29.2132,96.9,14.17,307,3.87,0.53,6,0.49,1.68,0.05,3.91,115.4,45.9,129.8,62,7.15,,50,6.9,6.8,7,35,3.34,0.017040816,196
CD19/CD20,AR25-094,AR25-094-013,10/26/2025 9:48,4,30.5518,29.084,95.2,14.71,308,4.11,0.5,4.99,0.57,1.24,0.08,3.65,122,47.1,91,52,7.32,1487.085,50,6.9,6.8,7,35,3.29,0.016812305,195.69
CD19/CD20,AR25-094,AR25-094-013,10/27/2025 8:36,5,26.032,24.1773,92.9,14.85,301,3.74,0.55,3.43,0.46,0.44,0.05,2.99,123.2,45.5,115.2,51.8,7.2,2327.52,50,6.9,6.8,7,35,3.26,0.016767822,194.42
CD19/CD20,AR25-094,AR25-094-013,10/28/2025 8:36,6,28.8615,25.592,88.7,15.1,304,4.13,0.49,1.98,0.58,0.25,0.06,3.12,126.7,44.8,128,56.9,7.15,2757.15,50,6.9,6.8,7,35,2.77,0.014310069,193.57
CD19/CD20,AR25-094,AR25-094-013,10/29/2025 8:36,7,29.6153,24.3712,82.3,15.28,327,4.52,0.46,4.92,0.77,0.32,0.07,3.2,128.2,43.7,133.6,59.9,7.12,3110.46,50,6.9,6.8,7,35,2.84,0.014580552,194.78
CD19/CD20,AR25-094,AR25-094-013,10/30/2025 8:36,8,32.0591,25.5633,79.7,15.04,333,5.44,0.53,4.08,1.01,0.69,0.08,3.4,131.9,42.9,143.7,64.8,7.08,,50,6.9,6.8,7,35,2.74,0.0141208,194.04
CD19/CD20,AR25-094,AR25-094-013,10/31/2025 8:36,9,33.3188,25.3918,76.2,14.71,343,6.44,0.57,3.47,1.27,1.38,0.11,3.65,135.2,41.1,141.6,67.7,7.07,3736.02,50,6.9,6.8,7,35,2.79,0.014422331,193.45
CD19/CD20,AR25-094,AR25-094-013,11/1/2025 8:30,10,36.1684,26.6902,73.8,14.78,356,7.68,0.58,2.95,1.32,2.25,0.15,3.91,138.3,41,141.9,97.2,7.07,,50,6.9,6.8,7,35,2.8,0.01451454,192.91
CD19/CD20,AR25-094,AR25-094-013,11/2/2025 8:36,11,32.5149,22.3872,68.9,14.43,382,8.96,0.6,5.52,1.23,3.14,0.35,4.15,139.2,31.6,138,76,6.96,4007.115,50,6.9,6.8,7,35,3.03,0.015612119,194.08
CD19/CD20,AR25-094,AR25-094-013,11/3/2025 8:36,12,35.7305,25.1678,70.4,13.77,390,10,0.6,4.56,1.19,4.01,0.59,4.46,140.7,22,101.9,77.8,6.94,4185.915,50,6.9,6.8,7,35,2.59,0.013391241,193.41
