,Batch,Day,IGG,VCC,VIABILITY,GLUTAMATE,AMMONIUM,NORMALIZED_BOLUS_FEED,TEMPERATURE_SETPOINT,PH_SETPOINT
0,AAR_Constant_Temp,0,22.399999999999995,0.59,98.3,2.79,0.48000000000000004,0.0,36.5,7.099999905
1,AAR_Constant_Temp,1,21.42879326207584,0.9270701366384535,97.60750503259943,3.1864213308118052,1.7387340969782512,0.0,36.5,7.105
2,AAR_Constant_Temp,2,15.499224703484028,2.016736476127675,97.48433818364947,3.2972530925384294,2.4287769506596004,1.37e-05,36.5,6.949999809
3,AAR_Constant_Temp,3,73.13464300394207,3.0797539130368725,97.13933148911757,3.4291698753916484,3.1820503943823977,0.028937458,36.5,7.002543449
4,AAR_Constant_Temp,4,116.28955541048161,5.441574363082544,97.76120896964017,3.897508707107208,3.9693994653893876,0.028967028,36.5,6.949999809
5,AAR_Constant_Temp,5,263.41602252004526,7.846265773796574,98.15093960553958,4.414069019406425,4.603655079346318,0.021214615,36.5,6.996638298
6,AAR_Constant_Temp,6,520.8015067239893,9.920283240995959,98.07944592210148,4.9826131459707605,4.87351091698019,0.003912779,36.5,6.952639103000001
7,AAR_Constant_Temp,7,889.285536844273,10.841038856208103,96.90215850499216,5.406618048228603,5.098878125106015,0.011280212,36.5,6.992065907
8,AAR_Constant_Temp,8,1255.53103459926,11.530377618942719,95.54185714561238,5.844058646762649,5.553914526784728,0.028849076,36.5,6.949999809
9,AAR_Constant_Temp,9,1592.353292659689,12.368887782080623,94.27546455994276,6.2859516914622855,6.501540468064058,2.4800000000000003e-05,36.5,7.001262665
10,AAR_Constant_Temp,10,2001.4524699469669,12.117336708041474,92.12217750083052,6.5030066377650515,6.746763543071553,2.4600000000000005e-05,36.5,6.98715353
11,AAR_Constant_Temp,11,2375.1489520837818,11.309736349355124,89.6222591395041,6.615804328735958,7.234870481838041,0.0288437,36.5,6.993771075999999
12,AAR_Constant_Temp,12,2629.899115005267,11.256498596874613,87.88307334589398,6.811535275159926,8.223173318457626,1.11e-05,36.5,6.994817734
13,AAR_Constant_Temp,13,2927.2069937384176,10.254626086100902,85.42224328981467,6.741062000727477,8.515213009778265,1.11e-05,36.5,7.012525559
14,AAR_Constant_Temp,14,3164.2429604852164,9.005795585843515,82.93929769823181,6.614397021579284,8.824179688228542,1.11e-05,36.5,7.038037777
15,AAR_Measured_Temp,0,22.399999999999995,0.59,98.3,2.79,0.48000000000000004,0.0,36.60843277,7.099999905
16,AAR_Measured_Temp,1,17.181688592786116,0.9560892275156883,97.6136078660541,3.1677013829347693,1.7296650944917213,0.0,37.20703125,7.105
17,AAR_Measured_Temp,2,-13.830643954039926,2.228017528680731,97.52133960435879,3.1739105605597464,2.358741464384564,1.37e-05,37.46744919,6.949999809
18,AAR_Measured_Temp,3,23.950392557765863,3.499787968031218,97.16760259828237,3.2534090140654426,3.020963849642578,0.028937458,37.5054245,7.002543449
19,AAR_Measured_Temp,4,58.36368492375889,6.032405925192919,97.72823553972978,3.709474205154424,3.7216698089318285,0.028967028,37.00810242,6.949999809
20,AAR_Measured_Temp,5,223.963400562064,8.4291473432994,97.983371779927,4.307096750206435,4.327290263475941,0.021214615,37.20341492,6.996638298
21,AAR_Measured_Temp,6,485.04743133517786,10.536061944633866,97.79092272648751,4.840753932372797,4.577088685279433,0.003912779,36.58130646,6.952639103000001
22,AAR_Measured_Temp,7,884.3772981749418,11.293251421726792,96.43468303467873,5.3604652819763965,4.836423372783644,0.011280212,36.60300827,6.992065907
23,AAR_Measured_Temp,8,1265.195694066053,11.844385202987597,94.93706795637827,5.786616941295782,5.338259106777738,0.028849076,36.78747177,6.949999809
24,AAR_Measured_Temp,9,1602.7334418232788,12.604567598228513,93.56665141929659,6.179627115430372,6.308238060072021,2.4800000000000003e-05,36.88693619,7.001262665
25,AAR_Measured_Temp,10,2007.3620985037976,12.30509191668347,91.32511649404005,6.356949217938597,6.552977249318522,2.4600000000000005e-05,36.63917923,6.98715353
26,AAR_Measured_Temp,11,2385.6983659373377,11.386618902039366,88.73119016343692,6.488633967545342,7.050961835551086,0.0288437,36.43301392,6.993771075999999
27,AAR_Measured_Temp,12,2645.6442537033336,11.188783171491657,86.91740006023885,6.699315655855865,8.06468892389257,1.11e-05,36.11111069,6.994817734
28,AAR_Measured_Temp,13,2952.1751723121115,9.98539595270297,84.40225615520278,6.664138757139239,8.403825736435666,1.11e-05,36.34982681,7.012525559
29,AAR_Measured_Temp,14,3176.7588573479097,8.644412508282272,81.93400930145181,6.478416689908123,8.733780142284846,1.11e-05,36.37695313,7.038037777
30,AAR_Setpoint_Temp,0,22.399999999999995,0.59,98.3,2.79,0.48000000000000004,0.0,36.5,7.099999905
31,AAR_Setpoint_Temp,1,21.42879326207584,0.9270701366384535,97.60750503259943,3.1864213308118052,1.7387340969782512,0.0,36.6,7.105
32,AAR_Setpoint_Temp,2,11.582415542111786,2.04349876475798,97.48996640236477,3.2799889869760284,2.4204132406054075,1.37e-05,37.20000076,6.949999809
33,AAR_Setpoint_Temp,3,44.20743875859937,3.287437591510952,97.1761543390161,3.307140632727857,3.1134507184148568,0.028937458,37.46225739,7.002543449
34,AAR_Setpoint_Temp,4,67.46287669916588,5.857446172442517,97.78998909668269,3.72275777596747,3.810160855236573,0.028967028,37.5,6.949999809
35,AAR_Setpoint_Temp,5,205.81403206690092,8.432508536052486,98.11929552220082,4.227094348189471,4.35804314327494,0.021214615,36.94977951,6.996638298
36,AAR_Setpoint_Temp,6,483.69597877671816,10.484225097704245,97.91123075536295,4.885886082359318,4.603881261260164,0.003912779,37.20030594,6.952639103000001
37,AAR_Setpoint_Temp,7,854.4627010724998,11.441888154753439,96.61858200419744,5.266180112594535,4.810028510865921,0.011280212,36.57346725,6.992065907
38,AAR_Setpoint_Temp,8,1251.160744454651,11.969360597230345,95.08273241429889,5.799801275846325,5.298415767762153,0.028849076,36.31659698,6.949999809
39,AAR_Setpoint_Temp,9,1613.1433616824334,12.597176933150926,93.66681714991661,6.278732532904102,6.315546591621093,2.4800000000000003e-05,36.51498795,7.001262665
40,AAR_Setpoint_Temp,10,2026.4005560388232,12.216482269804226,91.42071877806055,6.448141594110686,6.609446883264543,2.4600000000000005e-05,36.72688293,6.98715353
41,AAR_Setpoint_Temp,11,2392.487579332648,11.351611414958983,88.8619435564556,6.503096373727159,7.1092469139174,0.0288437,36.01781082,6.993771075999999
42,AAR_Setpoint_Temp,12,2667.916835138214,11.059289066329509,87.033927652712,6.797708276843791,8.151608553709373,1.11e-05,36.36621857,6.994817734
43,AAR_Setpoint_Temp,13,2953.676909358101,9.968772352354216,84.57658342206125,6.6540682190543,8.472466702477638,1.11e-05,35.93106079,7.012525559
44,AAR_Setpoint_Temp,14,3196.886912189505,8.533748542827977,82.08990364661618,6.580735742615402,8.823194892357337,1.11e-05,36.3793602,7.038037777
